name,country_of_citizenship,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name,market_value_in_eur,yellow_cards,red_cards,goals,assists,minutes_played,age
Gabriel Martinelli,Brazil,Attack,right,178.0,GB1,Arsenal FC,70000000.0,1,0,8,5,2640,23
Trent Alexander-Arnold,England,Defender,right,180.0,GB1,Liverpool FC,70000000.0,7,0,3,9,2617,26
James Maddison,England,Midfield,right,175.0,GB1,Tottenham Hotspur,70000000.0,5,0,4,9,2179,28
Alessandro Bastoni,Italy,Defender,left,190.0,IT1,Inter Milan,70000000.0,5,0,1,4,2924,25
Douglas Luiz,Brazil,Midfield,right,177.0,GB1,Aston Villa,70000000.0,13,0,10,6,3451,26
Leroy Sané,Germany,Attack,left,183.0,L1,Bayern Munich,70000000.0,5,0,10,13,3224,29
Ronald Araujo,Uruguay,Defender,right,192.0,ES1,FC Barcelona,70000000.0,10,1,1,2,3024,25
Bernardo Silva,Portugal,Midfield,left,173.0,GB1,Manchester City,70000000.0,9,0,11,10,3798,30
Nico Williams,Spain,Attack,right,181.0,ES1,Athletic Bilbao,70000000.0,7,0,8,19,2729,22
Frenkie de Jong,Netherlands,Midfield,right,181.0,ES1,FC Barcelona,70000000.0,10,0,2,0,2512,27
Gabriel Magalhães,Brazil,Defender,left,190.0,GB1,Arsenal FC,70000000.0,5,0,4,0,4331,27
Kai Havertz,Germany,Midfield,left,193.0,GB1,Arsenal FC,70000000.0,14,0,14,7,3827,25
Jérémy Doku,Belgium,Attack,right,173.0,FR1,Stade Rennais FC,65000000.0,4,0,7,10,2282,22
Christopher Nkunku,France,Midfield,right,177.0,GB1,Chelsea FC,65000000.0,0,0,3,0,516,27
Ollie Watkins,England,Attack,right,180.0,GB1,Aston Villa,65000000.0,5,0,22,13,3568,29
Rasmus Højlund,Denmark,Attack,left,191.0,GB1,Manchester United,65000000.0,2,0,16,2,3088,21
Lucas Paquetá,Brazil,Midfield,left,180.0,GB1,West Ham United,65000000.0,13,0,8,7,3478,27
Marcus Thuram,France,Attack,right,192.0,IT1,Inter Milan,65000000.0,3,0,15,14,3366,27
Gabriel Jesus,Brazil,Attack,right,175.0,GB1,Arsenal FC,65000000.0,8,0,8,8,1910,27
Viktor Gyökeres,Sweden,Attack,right,187.0,PO1,Sporting CP,65000000.0,4,1,37,11,3692,26
Dušan Vlahović,Serbia,Attack,left,190.0,IT1,Juventus FC,65000000.0,9,0,18,3,2609,25
Cristian Romero,Argentina,Defender,right,185.0,GB1,Tottenham Hotspur,65000000.0,7,1,5,0,2882,26
Matthijs de Ligt,Netherlands,Defender,right,189.0,L1,Bayern Munich,65000000.0,5,0,2,1,1924,25
Warren Zaïre-Emery,France,Midfield,right,178.0,FR1,Paris Saint-Germain,60000000.0,5,0,3,6,2957,18
Éder Militão,Brazil,Defender,right,186.0,ES1,Real Madrid,60000000.0,0,0,0,0,509,27
Anthony Gordon,England,Attack,right,182.0,GB1,Newcastle United,60000000.0,14,0,12,11,3869,23
Bremer,Brazil,Defender,right,188.0,IT1,Juventus FC,60000000.0,10,0,3,0,3594,27
Loïs Openda,Belgium,Attack,right,177.0,L1,RB Leipzig,60000000.0,5,0,28,7,3449,24
Marcus Rashford,England,Attack,right,185.0,GB1,Manchester United,60000000.0,2,1,8,5,3057,27
Dani Olmo,Spain,Midfield,right,179.0,L1,RB Leipzig,60000000.0,1,0,8,5,1715,26
Theo Hernández,France,Defender,left,184.0,IT1,AC Milan,60000000.0,13,1,5,11,4055,27
Ousmane Dembélé,France,Attack,both,178.0,FR1,Paris Saint-Germain,60000000.0,5,0,5,12,2529,27
Achraf Hakimi,Morocco,Defender,right,181.0,FR1,Paris Saint-Germain,60000000.0,7,0,5,6,3003,26
Jack Grealish,England,Attack,right,180.0,GB1,Manchester City,60000000.0,8,0,3,3,2114,29
Mohamed Salah,Egypt,Attack,left,175.0,GB1,Liverpool FC,55000000.0,2,0,25,14,3132,32
Nuno Mendes,Portugal,Defender,left,183.0,FR1,Paris Saint-Germain,55000000.0,4,0,1,1,688,22
João Neves,Portugal,Midfield,right,174.0,PO1,SL Benfica,55000000.0,4,0,3,2,3769,20
Pedro Neto,Portugal,Attack,left,172.0,GB1,Wolverhampton Wanderers,55000000.0,5,0,3,11,1729,24
Vitinha,Portugal,Midfield,right,172.0,FR1,Paris Saint-Germain,55000000.0,7,0,15,8,4647,24
Ben White,England,Defender,right,186.0,GB1,Arsenal FC,55000000.0,11,0,4,5,4086,27
Michael Olise,France,Attack,left,184.0,GB1,Crystal Palace,55000000.0,0,0,10,6,1278,23
Micky van de Ven,Netherlands,Defender,left,193.0,GB1,Tottenham Hotspur,55000000.0,6,0,3,0,2523,23
João Palhinha,Portugal,Midfield,right,190.0,GB1,Fulham FC,55000000.0,13,0,4,1,3178,29
Kobbie Mainoo,England,Midfield,right,180.0,GB1,Manchester United,55000000.0,4,0,5,1,2405,19
Moussa Diaby,France,Attack,left,170.0,GB1,Aston Villa,55000000.0,1,0,7,8,2494,25
Cody Gakpo,Netherlands,Attack,right,193.0,GB1,Liverpool FC,55000000.0,2,0,16,6,3017,25
Eberechi Eze,England,Midfield,right,178.0,GB1,Crystal Palace,55000000.0,4,0,11,6,2285,26
Dejan Kulusevski,Sweden,Attack,left,186.0,GB1,Tottenham Hotspur,55000000.0,7,0,8,3,2964,24
Takefusa Kubo,Japan,Attack,left,173.0,ES1,Real Sociedad,50000000.0,3,0,7,5,2935,23
Joshua Zirkzee,Netherlands,Attack,right,193.0,IT1,Bologna FC 1909,50000000.0,8,0,12,7,2942,23
Evan Ferguson,Ireland,Attack,right,188.0,GB1,Brighton & Hove Albion,50000000.0,2,0,6,1,1721,20
Raphinha,Brazil,Attack,left,176.0,ES1,FC Barcelona,50000000.0,5,1,10,13,1950,28
Martín Zubimendi,Spain,Midfield,right,181.0,ES1,Real Sociedad,50000000.0,5,0,4,1,3735,25
Alphonso Davies,Canada,Defender,left,185.0,L1,Bayern Munich,50000000.0,3,0,3,6,3013,24
Kingsley Coman,France,Attack,right,181.0,L1,Bayern Munich,50000000.0,1,0,5,3,1737,28
Benjamin Sesko,Slovenia,Attack,right,195.0,L1,RB Leipzig,50000000.0,1,0,18,2,2057,21
Ivan Toney,England,Attack,right,185.0,GB1,Brentford FC,50000000.0,5,0,4,2,1449,28
Levi Colwill,England,Defender,left,187.0,GB1,Chelsea FC,50000000.0,3,0,1,1,2433,21
Benjamin Pavard,France,Defender,right,186.0,IT1,Inter Milan,50000000.0,8,0,0,3,2412,28
Mikel Merino,Spain,Midfield,left,189.0,ES1,Real Sociedad,50000000.0,14,0,8,5,3601,28
Jonathan David,Canada,Attack,both,180.0,FR1,LOSC Lille,50000000.0,5,0,20,5,2852,25
Kevin De Bruyne,Belgium,Midfield,right,181.0,GB1,Manchester City,50000000.0,3,0,6,18,1750,33
Teun Koopmeiners,Netherlands,Midfield,left,184.0,IT1,Atalanta BC,50000000.0,7,0,15,7,3924,26
Diogo Jota,Portugal,Attack,right,178.0,GB1,Liverpool FC,50000000.0,3,0,15,4,1711,28
Mohammed Kudus,Ghana,Midfield,left,177.0,NL1,Ajax Amsterdam,50000000.0,7,0,18,7,3781,24
Gonçalo Ramos,Portugal,Attack,right,185.0,FR1,Paris Saint-Germain,50000000.0,2,0,11,2,1631,23
Marquinhos,Brazil,Defender,right,183.0,FR1,Paris Saint-Germain,50000000.0,3,0,0,3,2680,30
Leny Yoro,France,Defender,right,190.0,FR1,LOSC Lille,50000000.0,5,0,3,0,2842,19
Jeremie Frimpong,Netherlands,Midfield,right,172.0,L1,Bayer 04 Leverkusen,50000000.0,7,0,14,12,3364,24
Amadou Onana,Belgium,Midfield,right,195.0,GB1,Everton FC,50000000.0,5,0,3,1,2698,23
Lisandro Martínez,Argentina,Defender,left,175.0,GB1,Manchester United,50000000.0,4,0,0,1,900,27
Conor Gallagher,England,Midfield,right,182.0,GB1,Chelsea FC,50000000.0,10,0,7,9,4036,24
Federico Dimarco,Italy,Defender,left,175.0,IT1,Inter Milan,50000000.0,0,0,6,8,2685,27
Savinho,Brazil,Attack,left,176.0,ES1,Girona FC,50000000.0,6,0,11,10,3253,20
Bradley Barcola,France,Attack,right,182.0,FR1,Olympique Lyon,50000000.0,3,0,5,9,2188,22
Jarrod Bowen,England,Attack,left,176.0,GB1,West Ham United,50000000.0,4,0,20,10,3842,28
Joshua Kimmich,Germany,Defender,right,177.0,L1,Bayern Munich,50000000.0,3,1,2,10,3503,29
Matheus Nunes,Portugal,Midfield,right,183.0,GB1,Wolverhampton Wanderers,50000000.0,3,0,0,5,1540,26
Brennan Johnson,Wales,Attack,right,186.0,GB1,Nottingham Forest,48000000.0,4,0,5,10,2506,23
Pedro Porro,Spain,Defender,right,173.0,GB1,Tottenham Hotspur,45000000.0,4,0,4,7,3273,25
Manuel Ugarte,Uruguay,Midfield,right,182.0,FR1,Paris Saint-Germain,45000000.0,7,0,0,3,2325,23
António Silva,Portugal,Defender,right,187.0,PO1,SL Benfica,45000000.0,9,2,2,0,3822,21
Jules Koundé,France,Defender,right,180.0,ES1,FC Barcelona,45000000.0,5,0,2,4,4099,26
Gonçalo Inácio,Portugal,Defender,left,186.0,PO1,Sporting CP,45000000.0,10,0,4,1,3440,23
Destiny Udogie,Italy,Defender,left,188.0,GB1,Tottenham Hotspur,45000000.0,8,0,2,3,2578,22
Johan Bakayoko,Belgium,Attack,left,179.0,NL1,PSV Eindhoven,45000000.0,2,0,14,14,3716,21
Min-jae Kim,"Korea, South",Defender,right,190.0,L1,Bayern Munich,45000000.0,4,0,1,2,2765,28
Kaoru Mitoma,Japan,Attack,right,178.0,GB1,Brighton & Hove Albion,45000000.0,6,0,3,5,2067,27
Giorgio Scalvini,Italy,Defender,right,194.0,IT1,Atalanta BC,45000000.0,6,0,2,3,3224,21
Giorgi Mamardashvili,Georgia,Goalkeeper,left,197.0,ES1,Valencia CF,45000000.0,3,1,0,0,3285,24
Riccardo Calafiori,Italy,Defender,left,188.0,IT1,Bologna FC 1909,45000000.0,6,0,2,5,2537,22
João Pedro,Brazil,Attack,right,188.0,GB1,Brighton & Hove Albion,45000000.0,10,0,25,4,4868,23
Alejandro Grimaldo,Spain,Defender,left,171.0,L1,Bayer 04 Leverkusen,45000000.0,3,0,12,20,4077,29
Edmond Tapsoba,Burkina Faso,Defender,right,194.0,L1,Bayer 04 Leverkusen,45000000.0,7,0,3,1,3488,25
Pape Matar Sarr,Senegal,Midfield,right,184.0,GB1,Tottenham Hotspur,45000000.0,9,0,3,3,2103,22
Matheus Cunha,Brazil,Attack,right,183.0,GB1,Wolverhampton Wanderers,45000000.0,9,0,14,8,2772,25
Randal Kolo Muani,France,Attack,right,187.0,FR1,Paris Saint-Germain,45000000.0,2,0,10,5,2049,26
Ibrahima Konaté,France,Defender,right,194.0,GB1,Liverpool FC,45000000.0,7,0,0,1,2588,25
Pau Torres,Spain,Defender,left,192.0,GB1,Aston Villa,45000000.0,1,0,2,1,2706,28
Heung-min Son,"Korea, South",Attack,both,184.0,GB1,Tottenham Hotspur,45000000.0,1,0,17,10,2967,32
Diogo Costa,Portugal,Goalkeeper,right,186.0,PO1,FC Porto,45000000.0,0,1,0,0,3785,25
Exequiel Palacios,Argentina,Midfield,right,178.0,L1,Bayer 04 Leverkusen,45000000.0,8,0,6,5,2661,26
Arda Güler,Türkiye,Attack,left,175.0,ES1,Real Madrid,45000000.0,1,0,6,0,440,19
Sven Botman,Netherlands,Defender,left,195.0,GB1,Newcastle United,45000000.0,2,0,2,2,1776,25
Mikel Oyarzabal,Spain,Attack,left,181.0,ES1,Real Sociedad,45000000.0,3,0,14,3,3058,27
Alejandro Garnacho,Argentina,Attack,right,180.0,GB1,Manchester United,45000000.0,4,0,10,5,3574,20
Dayot Upamecano,France,Defender,right,186.0,L1,Bayern Munich,45000000.0,4,1,1,0,2360,26
Manuel Akanji,Switzerland,Defender,right,188.0,GB1,Manchester City,45000000.0,8,0,4,0,3864,29
Hakan Çalhanoğlu,Türkiye,Midfield,right,178.0,IT1,Inter Milan,45000000.0,9,0,15,3,3260,30
Leon Bailey,Jamaica,Attack,left,178.0,GB1,Aston Villa,42000000.0,6,0,12,10,2424,27
Jarrad Branthwaite,England,Defender,left,195.0,GB1,Everton FC,42000000.0,8,0,3,0,3657,22
Joelinton,Brazil,Midfield,right,186.0,GB1,Newcastle United,40000000.0,9,0,3,4,1844,28
Julian Brandt,Germany,Midfield,right,185.0,L1,Borussia Dortmund,40000000.0,2,0,10,16,3247,28
Axel Disasi,France,Defender,right,190.0,GB1,Chelsea FC,40000000.0,6,0,3,0,3690,26
Andreas Christensen,Denmark,Defender,right,187.0,ES1,FC Barcelona,40000000.0,8,0,3,2,2790,28
Ian Maatsen,Netherlands,Defender,left,178.0,L1,Borussia Dortmund,40000000.0,10,0,3,2,2277,22
Christian Pulisic,United States,Attack,right,177.0,IT1,AC Milan,40000000.0,3,0,15,11,3613,26
Donyell Malen,Netherlands,Attack,right,176.0,L1,Borussia Dortmund,40000000.0,5,0,15,5,2378,26
Nico Schlotterbeck,Germany,Defender,left,191.0,L1,Borussia Dortmund,40000000.0,10,0,2,5,4078,25
Castello Lukeba,France,Defender,left,184.0,L1,RB Leipzig,40000000.0,5,0,1,0,2968,22
Éderson,Brazil,Midfield,right,183.0,IT1,Atalanta BC,40000000.0,10,0,7,1,4177,25
Mathys Tel,France,Attack,right,183.0,L1,Bayern Munich,40000000.0,2,0,10,6,1406,19
Morgan Gibbs-White,England,Midfield,right,171.0,GB1,Nottingham Forest,40000000.0,9,0,6,10,3526,25
Gianluigi Donnarumma,Italy,Goalkeeper,right,196.0,FR1,Paris Saint-Germain,40000000.0,5,1,0,0,3340,25
Lucas Hernández,France,Defender,left,184.0,FR1,Paris Saint-Germain,40000000.0,9,0,2,2,2847,28
Fikayo Tomori,England,Defender,right,185.0,IT1,AC Milan,40000000.0,12,0,4,0,2845,27
Bryan Mbeumo,Cameroon,Attack,left,171.0,GB1,Brentford FC,40000000.0,2,0,9,6,2079,25
Piero Hincapié,Ecuador,Defender,left,184.0,L1,Bayer 04 Leverkusen,40000000.0,3,0,1,1,2617,23
Ademola Lookman,Nigeria,Attack,right,174.0,IT1,Atalanta BC,40000000.0,6,0,17,10,2809,27
Brais Méndez,Spain,Midfield,left,184.0,ES1,Real Sociedad,40000000.0,8,0,8,9,3318,28
Nathan Aké,Netherlands,Defender,left,180.0,GB1,Manchester City,40000000.0,0,0,3,2,3057,29
Reece James,England,Defender,right,180.0,GB1,Chelsea FC,40000000.0,2,1,0,2,482,25
Joey Veerman,Netherlands,Midfield,right,185.0,NL1,PSV Eindhoven,40000000.0,3,0,7,19,3420,26
Álex Baena,Spain,Midfield,right,174.0,ES1,Villarreal CF,40000000.0,15,1,5,18,3137,23
Serge Gnabry,Germany,Attack,right,176.0,L1,Bayern Munich,40000000.0,0,0,5,2,764,29
Serhou Guirassy,Guinea,Attack,right,187.0,L1,VfB Stuttgart,40000000.0,0,0,30,3,2380,28
Morten Hjulmand,Denmark,Midfield,right,185.0,PO1,Sporting CP,40000000.0,12,0,3,2,3006,25
Victor Boniface,Nigeria,Attack,right,190.0,L1,Bayer 04 Leverkusen,40000000.0,3,0,21,10,2109,24
Robin Le Normand,Spain,Defender,right,187.0,ES1,Real Sociedad,40000000.0,17,0,2,0,3623,28
Santiago Gimenez,Mexico,Attack,left,183.0,NL1,Feyenoord Rotterdam,40000000.0,6,0,26,8,3204,23
Brahim Díaz,Morocco,Midfield,both,170.0,ES1,Real Madrid,40000000.0,2,0,12,9,2066,25
Alejandro Balde,Spain,Defender,left,175.0,ES1,FC Barcelona,40000000.0,2,0,1,1,2000,21
Dominic Solanke,England,Attack,right,186.0,GB1,AFC Bournemouth,40000000.0,5,0,21,4,3553,27
Gregor Kobel,Switzerland,Goalkeeper,right,196.0,L1,Borussia Dortmund,40000000.0,1,0,0,0,3716,27
Ousmane Diomande,Cote d'Ivoire,Defender,right,190.0,PO1,Sporting CP,40000000.0,8,0,3,1,2797,21
Oleksandr Zinchenko,Ukraine,Defender,left,175.0,GB1,Arsenal FC,38000000.0,3,0,1,2,2082,28
Richarlison,Brazil,Attack,right,184.0,GB1,Tottenham Hotspur,38000000.0,3,0,12,4,1737,27
Rico Lewis,England,Defender,right,169.0,GB1,Manchester City,38000000.0,1,0,2,4,1608,20
John Stones,England,Defender,right,188.0,GB1,Manchester City,38000000.0,2,0,1,2,1859,30
Sandro Tonali,Italy,Midfield,right,181.0,GB1,Newcastle United,38000000.0,3,0,1,0,692,24
Jurrien Timber,Netherlands,Defender,right,179.0,GB1,Arsenal FC,38000000.0,2,0,0,0,147,23
Marc Guéhi,England,Defender,right,182.0,GB1,Crystal Palace,38000000.0,2,0,0,1,2254,24
Boubacar Kamara,France,Midfield,right,184.0,GB1,Aston Villa,38000000.0,7,1,1,1,2085,25
Mike Maignan,France,Goalkeeper,right,191.0,IT1,AC Milan,38000000.0,3,1,0,1,3702,29
Harvey Elliott,England,Midfield,left,170.0,GB1,Liverpool FC,35000000.0,4,0,4,11,2786,21
Fabián Ruiz,Spain,Midfield,left,189.0,FR1,Paris Saint-Germain,35000000.0,5,0,1,5,1817,28
Federico Chiesa,Italy,Attack,right,175.0,IT1,Juventus FC,35000000.0,1,0,10,3,2512,27
Mason Mount,England,Midfield,right,181.0,GB1,Manchester United,35000000.0,2,0,1,1,756,26
Murillo,Brazil,Defender,left,184.0,GB1,Nottingham Forest,35000000.0,6,0,0,2,3165,22
Artem Dovbyk,Ukraine,Attack,left,189.0,UKR1,SK Dnipro-1,35000000.0,2,0,25,10,2857,27
Samu Omorodion,Spain,Attack,right,193.0,ES1,Deportivo Alavés,35000000.0,5,0,9,1,2096,20
Mykhaylo Mudryk,Ukraine,Attack,right,175.0,GB1,Chelsea FC,35000000.0,7,0,7,2,2014,24
Ryan Gravenberch,Netherlands,Midfield,right,190.0,L1,Bayern Munich,35000000.0,2,0,4,2,1848,22
Cheick Doucouré,Mali,Midfield,right,180.0,GB1,Crystal Palace,35000000.0,2,0,0,0,982,25
Alan Varela,Argentina,Midfield,right,177.0,PO1,FC Porto,35000000.0,8,0,2,3,2945,23
Tino Livramento,England,Defender,right,182.0,GB1,Newcastle United,35000000.0,1,0,1,1,1892,22
Jacob Ramsey,England,Midfield,right,180.0,GB1,Aston Villa,35000000.0,2,0,1,2,960,23
Gianluca Scamacca,Italy,Attack,right,195.0,IT1,Atalanta BC,35000000.0,5,0,19,8,2319,26
Nayef Aguerd,Morocco,Defender,left,190.0,GB1,West Ham United,35000000.0,3,0,2,1,2358,28
Diogo Dalot,Portugal,Defender,right,183.0,GB1,Manchester United,35000000.0,7,0,3,5,4364,25
Nicolas Jackson,Senegal,Attack,right,188.0,GB1,Chelsea FC,35000000.0,10,0,17,6,3534,23
Rayan Aït-Nouri,Algeria,Defender,left,180.0,GB1,Wolverhampton Wanderers,35000000.0,8,0,3,2,2669,23
Adrien Rabiot,France,Midfield,left,188.0,IT1,Juventus FC,35000000.0,8,0,5,3,3012,29
João Gomes,Brazil,Midfield,right,176.0,GB1,Wolverhampton Wanderers,35000000.0,11,1,2,1,2865,23
Oihan Sancet,Spain,Midfield,right,188.0,ES1,Athletic Bilbao,35000000.0,7,1,6,6,2496,24
Nicolás González,Argentina,Attack,left,180.0,IT1,ACF Fiorentina,35000000.0,1,0,14,3,2273,26
Takehiro Tomiyasu,Japan,Defender,right,188.0,GB1,Arsenal FC,35000000.0,2,0,2,3,1654,26
Rodrigo Bentancur,Uruguay,Midfield,right,187.0,GB1,Tottenham Hotspur,35000000.0,7,0,1,1,1163,27
David Raya,Spain,Goalkeeper,right,183.0,GB1,Arsenal FC,35000000.0,2,0,0,0,3720,29
Davide Frattesi,Italy,Midfield,right,178.0,IT1,Inter Milan,35000000.0,3,0,8,7,1555,25
Ezri Konsa,England,Defender,right,183.0,GB1,Aston Villa,35000000.0,7,0,1,0,3464,27
Alessandro Buongiorno,Italy,Defender,left,190.0,IT1,Torino FC,35000000.0,7,0,3,1,2740,25
Guglielmo Vicario,Italy,Goalkeeper,right,194.0,GB1,Tottenham Hotspur,35000000.0,2,0,0,0,3600,28
Odilon Kossounou,Cote d'Ivoire,Defender,right,191.0,L1,Bayer 04 Leverkusen,35000000.0,6,0,1,0,2295,24
Joachim Andersen,Denmark,Defender,right,192.0,GB1,Crystal Palace,35000000.0,8,0,2,3,3597,28
Ederson,Brazil,Goalkeeper,left,188.0,GB1,Manchester City,35000000.0,5,0,0,0,3718,31
Jean-Clair Todibo,France,Defender,right,190.0,FR1,OGC Nice,35000000.0,2,1,0,2,2654,25
Edson Álvarez,Mexico,Midfield,right,190.0,GB1,West Ham United,35000000.0,17,0,2,2,3155,27
Mohamed Simakan,France,Defender,right,187.0,L1,RB Leipzig,35000000.0,12,0,3,4,2853,24
Harvey Barnes,England,Attack,right,182.0,GB1,Newcastle United,35000000.0,3,0,5,3,853,27
Georgiy Sudakov,Ukraine,Midfield,both,177.0,UKR1,Shakhtar Donetsk,35000000.0,7,0,10,6,2743,22
Leandro Trossard,Belgium,Attack,right,172.0,GB1,Arsenal FC,35000000.0,2,0,17,2,2263,30
Roméo Lavia,Belgium,Midfield,right,181.0,GB1,Chelsea FC,35000000.0,0,0,0,0,32,21
Willian Pacho,Ecuador,Defender,left,187.0,L1,Eintracht Frankfurt,35000000.0,8,0,0,2,3399,23
Dávid Hancko,Slovakia,Defender,left,188.0,NL1,Feyenoord Rotterdam,35000000.0,3,0,7,3,4325,27
Elye Wahi,France,Attack,right,181.0,FR1,Montpellier HSC,35000000.0,11,0,12,4,2322,22
Curtis Jones,England,Midfield,right,185.0,GB1,Liverpool FC,35000000.0,3,1,5,3,2032,24
Malo Gusto,France,Defender,right,178.0,GB1,Chelsea FC,35000000.0,7,1,0,9,2475,21
André Onana,Cameroon,Goalkeeper,right,190.0,GB1,Manchester United,35000000.0,6,0,0,0,4650,28
Raheem Sterling,England,Attack,right,170.0,GB1,Chelsea FC,35000000.0,8,0,10,8,2759,30
Evanilson,Brazil,Attack,both,183.0,PO1,FC Porto,35000000.0,5,1,17,6,2637,25
Brian Brobbey,Netherlands,Attack,right,182.0,NL1,Ajax Amsterdam,35000000.0,7,0,22,10,3056,22
Yves Bissouma,Mali,Midfield,right,182.0,GB1,Tottenham Hotspur,35000000.0,10,1,0,0,2083,28
Khéphren Thuram,France,Midfield,right,192.0,FR1,OGC Nice,35000000.0,7,0,1,1,2114,23
Charles De Ketelaere,Belgium,Midfield,left,192.0,IT1,Atalanta BC,34000000.0,1,0,14,11,2940,23
Scott McTominay,Scotland,Midfield,right,191.0,GB1,Manchester United,32000000.0,4,0,10,3,2775,28
Pedro Gonçalves,Portugal,Midfield,right,173.0,PO1,Sporting CP,32000000.0,5,0,14,16,3238,26
Lutsharel Geertruida,Netherlands,Defender,right,184.0,NL1,Feyenoord Rotterdam,32000000.0,5,0,9,5,4241,24
Max Kilman,England,Defender,left,194.0,GB1,Wolverhampton Wanderers,32000000.0,8,0,2,1,3981,27
Luke Shaw,England,Defender,left,178.0,GB1,Manchester United,32000000.0,7,0,0,1,1180,29
Ilya Zabarnyi,Ukraine,Defender,right,189.0,GB1,AFC Bournemouth,32000000.0,6,0,1,0,3816,22
Mats Wieffer,Netherlands,Midfield,right,188.0,NL1,Feyenoord Rotterdam,30000000.0,6,0,6,4,3720,25
